Uid,NickName,Username,Country,룰렛 Id,룰렛 제목,컬렉션 룰렛,컬렉션 룰렛 천장 기댓값,총 룰렛 하트 수,총 룰렛 도전 횟수,총 유니크 팬 룰렛 도전 횟수,총 컬렉션 룰렛 완성 유저 수,룰렛 가격(평균 룰렛 도전 하트 수),평균 룰렛 도전 횟수,평균 유니크 팬 룰렛 도전 하트 수,평균 컬렉션 룰렛 완성을 위한 플레이 횟수
"4902593447723008","유요 UYO","rh__ab","KR","4922449122754560","NEW 꽝 없는 룰렛♥","false","0","2100","42","22","0","50","1.91","95.45","0"
"4831181608779776","유수정","crystal613v","KR","6613838230388736","신규화보+식데 룰렛","true","420","2050","41","5","0","50","8.2","410","0"
"6201342159945728","쥬쥬💋","ehdqkdtlsrl110","KR","6341290548723712","🔞쥬쥬의 19금 룰렛🔞","true","200","2000","20","4","0","100","5","500","0"
"5184846084308992","하앙 🫦 하영","gkdud150","KR","5032715633229824","🎬 ONLY VIDEOS 🥵 Hot 영상만!","true","30","1950","39","19","2","50","2.05","102.63","5.5"
"6553764611948544","루비","fyKkhfHHg8","KR","6511678444470272","루비룰렛💋","false","0","1850","37","4","0","50","9.25","462.5","0"
"6081413298454528","장미🌹","lovelymii","KR","5856802865610752","lovely with u ","true","400","1800","18","3","0","100","6","600","0"
"5932820879048704","보송이버섯🥵♥️","Bosong723","KR","5146494693998592","꼴포 가득 보송이 룰렛 💝","true","200","1750","50","14","0","35","3.57","125","0"
"6642980720148480","☁️하늘이☁️sky☁️","hny1208_","KR","6546800568893440","☁️꽝없는 데이트 뽑기☁️","true","4990","1725","25","8","0","69","3.13","215.63","0"
"5796231080247296","네루","neru_nim","KR","4969061533548544","한발빼자","true","2000","1683","51","15","0","33","3.4","112.2","0"
"4879422705238016","가영이🐮","yoonkang","KR","5029175456104448","영상 메일제공🔞","true","400","1650","66","14","0","25","4.71","117.86","0"
"4646277012062208","채라 Chaera🐹","chae__.ra","KR","6458228692156416","2025 총결산🔞","true","4400","1650","33","6","0","50","5.5","275","0"
"5289409643741184","연우💋","abd9024","KR","5721144977195008","연우 19 룰렛","true","510","1628","22","6","0","74","3.67","271.33","0"
"6109768758394880","Meow ≽^•⩊•^≼ 서연 🍼","nana_03","VN","5952837508071424","🔞Minna Nudes 🔞","false","0","1590","159","41","0","10","3.88","38.78","0"
"5219586343632896","陰陽大法師","ge.more_x","TW","5210207975309312","絕版聖誕精靈🧚","true","40","1580","79","10","3","20","7.9","158","19.33"
"5439055788834816","Yejin 예진🔞💦","lyxinhgai","VN","6161869783105536","Yejin Sex and Nudes😈💦🔞","true","180","1566","54","14","0","29","3.86","111.86","0"
"5226643074121728","냥코코","coco.meow","KR","5380758656188416","💓 꽝없는 19금 룰렛 💓","false","0","1530","17","10","0","90","1.7","153","0"
"5076708211490816","하리니🤍","Harini02","KR","5024117054177280","하린짱","true","220","1485","27","5","0","55","5.4","297","0"
"5091801079283712","냠냠유아🤤💛","njS0PtmC","KR","5553029513412608","올해처음은유아랑❤️‍🔥","true","70","1463","19","2","0","77","9.5","731.5","0"
"4908035789094912","미시차유리","MissyChayuri","KR","4885329107681280","유부녀 판타지❤️💋","true","400","1440","32","10","0","45","3.2","144","0"
"5299158341976064","MIMOLEMON🍋","Mimolemon","JP","6114266278199296","今年もレモンと遊ぼう🔞💦","true","90","1430","26","4","0","55","6.5","357.5","0"
"4713579245928448","예봉 yebong","kamoyebbi","KR","6731027419693056","봉이 룰렛🍨","false","0","1380","23","4","0","60","5.75","345","0"
"5621524096811008","고구마","yh6517","KR","5755614933483520","Sexy roulette🎡","false","0","1380","20","10","0","69","2","138","0"
"6583132883058688","헤니","456818_luv","KR","5392039928856576","미친 수위 🔞 물빼기 💦 룰렛","false","0","1375","25","6","0","55","4.17","229.17","0"
"6137030863552512","🐰유찌🐰","yuhwa.__kong","KR","6312008016396288","💕유찌의 꽝없는 룰렛 마지막💕","false","0","1300","13","8","0","100","1.63","162.5","0"
"5479751875362816","베리 🍓","very_berry","KR","4870663912488960","베리 29금 얼공코스튬 맛보기👅","true","210","1295","37","6","0","35","6.17","215.83","0"
"5482705105780736","CD만송이","10000song2likey","KR","5895940037869568","송이랑 놀래?❤️","true","210","1260","42","9","0","30","4.67","140","0"
"5729442627518464","Ecup🐰서아🐰","korean_hcup","KR","6531322567917568","꽝없는 개이득🔞속옷슴❤️가🔞","true","60","1260","28","10","0","45","2.8","126","0"
"5076708211490816","하리니🤍","Harini02","KR","4749909967437824","구독권룰렛","true","110","1200","24","6","0","50","4","200","0"
"5682428762128384","꾸뿌","ggubbu","KR","4972558253490176","🎁복주머니🎁","true","150","1200","40","11","0","30","3.64","109.09","0"
"6578274742108160","bbak_o0o","ba_o0ok","KR","4785076891222016","🔥","true","400","1150","23","3","0","50","7.67","383.33","0"
"6262927209070592","유치땅","youchi0_0","KR","5608041547497472","♥️유치의 룰렛♥️","true","220","1150","23","10","0","50","2.3","115","0"
"5076708211490816","하리니🤍","Harini02","KR","5194150950666240","구독권룰렛","true","60","1144","26","4","1","44","6.5","286","22"
"5419006176854016","영재 YoungJay","youngjay","KR","4814387488686080","🌶️영재 컬렉션 룰렛🌶️","true","220","1100","20","7","0","55","2.86","157.14","0"
"6603537190354944","벨라","Bella__","KR","6629540853121024","새해맞이 1월 룰렛 ❤️","false","0","1045","19","6","0","55","3.17","174.17","0"
"4798796780601344","Yukibaby優紀的愛","yuking0903","MY","6315600554164224","Sexy Yukibaby🔞","true","40","1000","50","5","2","20","10","200","23"
"6549680901259264","모찌","93_mozzi","KR","4733081970999296","바프 언더웨어 배송🩲","false","0","990","99","21","0","10","4.71","47.14","0"
"4831543862820864","히키코","coupang_1123","KR","4737919446351872","히키코 소장템♥︎","false","0","950","38","8","0","25","4.75","118.75","0"
"5732597385920512","솔비","s2_solbi","KR","6688724783267840","🥵Naked뽑기‼️꽝없음💦","false","0","900","9","3","0","100","3","300","0"
"6231601240145920","지니","an_xna_","KR","4902113462386688","산타걸 🎄❤️","true","300","900","36","9","0","25","4","100","0"
"5506120572272640","냥쮸","meowzzu","KR","4742591095701504"," 아찔한 비밀 초대장 ✨","true","100","900","18","8","0","50","2.25","112.5","0"
"6035749852741632","우주","pigrabbit","KR","6193787329249280","우주랑 가까워지기 💦","true","20000","850","17","4","0","50","4.25","212.5","0"
"5172795211448320","華丸アキ","aki_hanamaru","JP","4824468540293120","華丸アキ新年コンプルーレット🧸","true","140","840","42","3","1","20","14","280","40"
"5288108310593536","연유네코 Yeonyuneko","yeonyuneko","KR","5212410924433408","🍭","true","100","840","21","6","0","40","3.5","140","0"
"6291184182165504","bell","beebell.ll","TH","5761213087809536","วิดิโอคอล 1 ❤️","false","0","831","831","107","0","1","7.77","7.77","0"
"4655188477673472","一張","xi_iloveu2","TW","5965817624854528","🐰🎬🛁🩱","true","190","830","83","4","1","10","20.75","207.5","80"
"6356192360005632","루아","milkuyu","KR","5975844662214656","루아 몸매","true","20","820","41","12","1","20","3.42","68.33","5"
"6498354999787520","뇨 にょ","nyo_nyenya","KR","4536781207961600","부르마&메이드 룰렛","true","30","800","8","3","0","100","2.67","266.67","0"
"6058667832901632","썬스키 Ssunskey","ssunskey","KR","5484977178476544","구독권&후방주의🥵","true","140","800","8","3","0","100","2.67","266.67","0"
"5157738938302464","공주","bjjy1026","KR","5660996845895680","6조각 완성=시크릿 선물💦","true","200","780","26","8","0","30","3.25","97.5","0"
"5032098869215232","채화 彩花","chaehwa_O","KR","6713221793906688","두근두근 채화 첫 룰렛","true","310","760","19","7","0","40","2.71","108.57","0"
"4798192687841280","정다별이","jdabyeol2","KR","5674574822965248","은밀한 다별이 룰렛","true","800","750","15","8","0","50","1.88","93.75","0"
"5533185811349504","민주💖","ooonon214","KR","5540596975599616","고수위 영상 다모으면 선물❤","true","60","720","12","6","0","60","2","120","0"
"4631063934730240","葵葵❤️","yayababy5507","TW","5152895138988032","超色 獎勵都只有影片❤️","true","200","700","7","2","0","100","3.5","350","0"
"5938986822205440","STANg  스탕 💰","greenna17","TH","5659110608666624","รูเล็ตต์ร้อนแรง","true","30","700","35","4","2","20","8.75","175","11.5"
"6057369898188800","박아람","aram._ing","KR","5404451000221696","𝐍𝐄𝐖 궁녀 [宮女]  ","true","30","690","10","5","0","69","2","138","0"
"5506120572272640","냥쮸","meowzzu","KR","6605148706242560","Secret Gift 🍫","true","190","650","13","3","0","50","4.33","216.67","0"
"6724931612246016","社員食堂ギラギラ","giragira","JP","6520295373602816","ギラギラ冬ルーレット🎄","true","80","640","32","9","0","20","3.56","71.11","0"
"6056414047043584","わたあめふわり","watasi_cha","JP","6023712395689984","コレクションルーレット💖🎁❄️","true","30","630","21","6","1","30","3.5","105","12"
"5110959292874752","iicex_❄️⛄️","iicex_","TH","5682801337892864","เห็นฉันเปลือย","true","50","624","16","9","0","39","1.78","69.33","0"
"4723101646651392","Hyo원","hyoone","KR","5656774842712064","Hyo원이의 그림 룰렛🎨","true","210","594","18","2","0","33","9","297","0"
"5554389991489536","고은비","shushu_22","KR","4572270451425280","은비 돌림판 ♛","true","580","500","5","2","0","100","2.5","250","0"
"4976415017598976","조종해볼래?","sessmachine","KR","5564244524466176","Flower underwear set ","true","430","500","10","6","0","50","1.67","83.33","0"
"5418763606491136","ผักหวานนนนน","phakwhan090","TH","4964794693255168","รูเล็ตคอลเลกชัน","true","60","480","24","2","1","20","12","240","22"
"6628876559253504","06나밍","naming06","KR","5788945423204352","나밍이의 선물상자❤️","true","220","480","12","5","0","40","2.4","96","0"
"5051075711401984","다송","dearsongi","KR","4675905059487744","❤️다송송 계란탁❤️","true","600","472","8","4","0","59","2","118","0"
"5862966052454400","소정","2sojun","KR","5242175559499776","소정의 상품을 드립니다","true","320","450","10","4","0","45","2.5","112.5","0"
"5676674068971520","maru🌝【ガチムチ丸顔屋さん】","maru_dora93","JP","5289554081939456","maruのコンプルーレット","true","80","450","15","5","0","30","3","90","0"
"6081413298454528","장미🌹","lovelymii","KR","6155182837792768","장미랑 플레이 💋","true","30","445","5","2","1","89","2.5","222.5","4"
"5004374177021952","나나","nana12341543","KR","5807764376059904","비밀플랜 무료이용권😍","true","400","429","13","7","0","33","1.86","61.29","0"
"4998527651610624","박민지","hsh5085917","KR","4817847135174656","민지랑 영통 룰렛❤️","false","0","420","7","4","0","60","1.75","105","0"
"6110520818204672","예은🍭","yeeeeniii","KR","5962516040712192","야튜브 무료이용권🎟️","true","100","420","14","9","0","30","1.56","46.67","0"
"6480022501916672","난나_nanna","nunnu_you","KR","6312907148296192","❤️야노 랜덤 룰렛❤️","true","220","414","6","3","0","69","2","138","0"
"5930090488856576","水羽えと♡MizuhaneEto","Etocha_cos","JP","4518552850857984","えとと終わらないクリスマス🎄✨","true","70","405","81","14","1","5","5.79","28.93","52"
"6647310955380736","Vivian","vn_hello","TW","4949172152369152","大滿貫初體驗💦","true","50","400","40","9","0","10","4.44","44.44","0"
"5899221773647872","체리🍒","user999","KR","5966293279899648","침대위에서🥰","true","1600","380","38","3","0","10","12.67","126.67","0"
"6724634127040512","다니엘리","rullry","KR","5491189043363840","꽝없는 특별취향 룰렛♥︎♥︎","false","0","350","7","2","0","50","3.5","175","0"
"4879422705238016","가영이🐮","yoonkang","KR","5093302601973760","🔞[2월룰렛] 영상 메일제공 꽝없음🔞","true","400","345","5","1","0","69","5","345","0"
"4666161305419776","세라🔞","seerra","KR","4895307763744768","🫣오늘의 야노🌿","true","310","340","17","8","0","20","2.13","42.5","0"
"4729993722920960","지니🩷","maximgini","KR","6110511335931904","돌려라참깨💋","true","30","330","10","5","0","33","2","66","0"
"6061634121564160","소원 먹는 ⭐ 별이","onestar","KR","6403876392730624","별이의 네번째 소원","true","6470","330","11","9","0","30","1.22","36.67","0"
"5641826421506048","Ms Jorlyn 🍬","_jorlynlyn","MY","6018464126009344","🔞24h限定 🎉","false","0","330","33","14","0","10","2.36","23.57","0"
"4840724638269440","Bni자기야 🍼","bbae__","VN","5067249082892288","Sex 🔞","true","150","324","12","5","0","27","2.4","64.8","0"
"6434614044459008","babybxm","babybxm","TH","5851036431613952","รูเล็ตไม่มีพลาด💯","true","34","320","16","7","0","20","2.29","45.71","0"
"6736647941193728","miyu 💜","love_miyu","KR","6070350271152128","2025년 최고 파격화보(누드선물)","true","180","300","6","5","0","50","1.2","60","0"
"6174156216532992","꽁주","ggongju","KR","6572296774025216","화이트바니 컬렉션🩷","true","2000","300","6","4","0","50","1.5","75","0"
"5653513384427520","지아🍼🔞","tiiwzteriiz","TH","4510999798546432","Nipples pic 😝😜","false","0","300","6","5","0","50","1.2","60","0"
"5941859422437376","이린","2lyn_98","KR","4795952876683264","리뉴얼 트윗룰렛","false","0","294","6","3","0","49","2","98","0"
"6597837481377792","스릴러 Thriller","thriller","KR","6033662136221696","'","true","50","280","28","7","1","10","4","40","17"
"6291228295626752","앙모찌 angmochi🐚","angmochi","KR","5204224481886208","은밀한 모찌의 사생활 컬렉션 룰렛💦(확률 다 같음)","true","20","276","4","3","0","69","1.33","92","0"
"6093074900123648","이두나","duna_._","KR","4577449779331072","데굴데굴대잔치","true","9420","275","5","3","0","55","1.67","91.67","0"
"5872471726424064","🦋💕zindy🦄✨🔮","zindynapuk","TH","5077822059249664","รูเล็ตคอลเลกชัน","true","110","260","13","2","0","20","6.5","130","0"
"5114540947472384","솔미","s_solmi_","KR","4952506460471296","2026 new❤️","true","450","250","5","2","0","50","2.5","125","0"
"6054315144970240","daniel🧐","Hey_Danny","TH","6473308578185216","돌려라 돌려 돌림 pop🎉","false","0","250","5","2","0","50","2.5","125","0"
"5076708211490816","하리니🤍","Harini02","KR","5822678511583232","구독권룰렜","true","2010","250","5","2","0","50","2.5","125","0"
